Row,z_1,z_2
bier127.tsp,0.143674849997913,-2.08737210538631
eil101.tsp,1.54444686276839,-0.424207767459811
gr137.tsp,-0.990095312283648,-0.184552765584607
gr96.tsp,-0.642250233560335,0.858199574597411
kroA100.tsp,-0.377602862134419,1.36944141318338
kroB100.tsp,-0.263698596571284,1.4786165646564
kroC100.tsp,-0.0678285220647832,1.8364919404339
kroD100.tsp,-0.325190948601495,1.3368282376494
kroE100.tsp,-0.39701969594098,1.38517730995302
lin105.tsp,0.776826339559101,0.556297089316477
pr107.tsp,0.874326432109948,-2.28372289252644
pr124.tsp,-0.783512697338783,-0.528647553012406
pr136.tsp,0.496315095762202,-2.7825270286375
pr144.tsp,0.361031087266355,-2.14226785396701
rd100.tsp,-0.349421798968173,1.61224583678412
