TestNames,MDS_1,MDS_2
taixxA_1,-0.08372877700620683,-0.09311164728213239
taixxA_2,-0.11277609992984426,-0.05575835361366136
taixxA_3,-0.10447559578936207,-0.07714971456538704
taixxA_4,-0.12892726741602703,-0.0483380244689607
taixxA_5,-0.15758859645971732,-0.030035250472387916
taixxA_6,-0.11736101337590611,-0.038123455072954414
taixxA_7,-0.07154669370985758,-0.10418532729983145
taixxB_8,-0.16181456423478194,-0.06439497803164573
taixxB_9,-0.13621456358229525,-0.06391605853725418
taixxB_10,-0.13040366828015487,-0.08268894729660434
taixxB_11,-0.12749824623499573,-0.09564131618019664
taixxB_12,-0.1419143525469488,-0.07201413981424157
taixxB_13,-0.18011630401363227,-0.08745481578826761
taixxB_14,-0.08137462180294878,-0.1034799455408871
sko_15,0.18026186968793412,0.1136609000225843
sko_16,0.22502264534895167,0.14123739940050198
sko_17,0.28821415253820876,0.14193737667486808
sko_18,0.2647449992115516,0.13962426217876747
sko_19,0.23659337879890352,0.1381525288952262
sko_20,0.2799795275967165,0.1277516169410423
sko_21,0.2609237912004125,0.21392788985142214
